0|name_eng|1|city_eng|2|country_eng|3|latitude|4|longitude|5|runway_elevation
Alexandria International|Alexandria International|Alexandria, LA|Alexandria, LA|United States|United States|31.327372|31.327372|-92.548556|-92.548556|27|27
Akureyri|Akureyri|Akureyri|Akureyri|Iceland|Iceland|65.658610|65.658610|-18.072222|-18.072222|2|2
San Rafael|San Rafael|San Rafael|San Rafael|Argentina|Argentina|-34.588314|-34.588314|-68.403854|-68.403854|753|753
Port Alfred|Port Alfred|Port Alfred|Port Alfred|South Africa|South Africa|-33.554167|-33.554167|26.879722|26.879722|83|83
USAF Academy Airstrip|USAF Academy Airstrip|Colorado Springs|Colorado Springs|United States|United States|38.969715|38.969715|-104.812831|-104.812831|2003|2003
Amalfi|Amalfi|Amalfi|Amalfi|Colombia|Colombia|6.916667|6.916667|-75.066667|-75.066667|1393|1393
Kondavattavan Tank|Kondavattavan Tank|Ampara|Ampara|Sri Lanka|Sri Lanka|40.605444|40.605444|-95.867750|-95.867750|355|355
Alta Floresta|Alta Floresta|Alta Floresta|Alta Floresta|Brazil|Brazil|-9.866092|-9.866092|-56.106206|-56.106206|289|289
Municipal|Municipal|Jaffrey|Jaffrey|United States|United States|42.805134|42.805134|-72.003022|-72.003022|317|317
Municipal|Municipal|Afton|Afton|United States|United States|42.708778|42.708778|-110.942167|-110.942167|1896|1896
Afore|Afore|Afore|Afore|Papua New Guinea|Papua New Guinea|-9.133|-9.133|148.383|148.383|701|701
Zarafshan|Zarafshan|Zarafshan|Zarafshan|Uzbekistan|Uzbekistan|41.613611|41.613611|64.232777|64.232777||
Afutara Aerodrome|Afutara Aerodrome|Afutara|Afutara|Solomon Islands|Solomon Islands|-9.191111|-9.191111|160.949167|160.949167||
Fort Worth Alliance|Fort Worth Alliance|Fort Worth, TX|Fort Worth, TX|United States|United States|32.987639|32.987639|-97.318806|-97.318806|220|220
Afyon|Afyon|Afyon|Afyon|Turkey|Turkey|38.726425|38.726425|30.601114|30.601114|1009|1009
Sabzevar|Sabzevar|Sabzevar|Sabzevar|Iran|Iran|36.168083|36.168083|57.595183|57.595183|917|917
Agadir Almassira|Agadir Almassira|Agadir|Agadir|Morocco|Morocco|30.324997|30.324997|-9.413067|-9.413067|76|76
Augsburg - Muehlhausen|Augsburg - Muehlhausen|Munich|Munich|Germany|Germany|48.425158|48.425158|10.931764|10.931764|462|462
Allegheny County|Allegheny County|Pittsburgh|Pittsburgh|United States|United States|40.354401|40.354401|-79.930169|-79.930169|382|382
Anggi|Anggi|Anggi|Anggi|Indonesia|Indonesia|-1.383|-1.383|133.867|133.867|2150|2150
Flugplatz|Flugplatz|Wangerooge|Wangerooge|Germany|Germany|53.788333|53.788333|7.920556|7.920556|2|2
La Garenne|La Garenne|Agen|Agen|France|France|44.174714|44.174714|0.590619|0.590619|62|62
Angoram|Angoram|Angoram|Angoram|Papua New Guinea|Papua New Guinea|-4.050|-4.050|144.067|144.067|14|14
Angelholm|Angelholm|Angelholm/Helsingborg|Angelholm/Helsingborg|Sweden|Sweden|56.296072|56.296072|12.847139|12.847139|21|21
Wageningen|Wageningen|Wageningen|Wageningen|Suriname|Suriname|5.833|5.833|-56.650|-56.650|8|8
Aguni|Aguni|Aguni|Aguni|Japan|Japan|26.592499|26.592499|127.240833|127.240833|12|12
Kagua|Kagua|Kagua|Kagua|Papua New Guinea|Papua New Guinea|-6.383|-6.383|143.850|143.850|1554|1554
Wanigela|Wanigela|Wanigela|Wanigela|Papua New Guinea|Papua New Guinea|-9.333|-9.333|149.150|149.150|15|15
Tasiilaq|Tasiilaq|Tasiilaq|Tasiilaq|Greenland|Greenland|65.612222|65.612222|-37.618333|-37.618333|7|7
Angoon|Angoon|Angoon|Angoon|United States|United States|57.503555|57.503555|-134.585094|-134.585094|0|0
Municipal|Municipal|Magnolia|Magnolia|United States|United States|33.227468|33.227468|-93.216992|-93.216992|97|97
Pablo Ruiz Picasso|Pablo Ruiz Picasso|Malaga|Malaga|Spain|Spain|36.674900|36.674900|-4.499106|-4.499106|16|16
Agrinion|Agrinion|Agrinion|Agrinion|Greece|Greece|38.602022|38.602022|21.351208|21.351208|47|47
Kheria|Kheria|Agra|Agra|India|India|27.155831|27.155831|77.960892|77.960892|168|168
Bush Field|Bush Field|Augusta|Augusta|United States|United States|33.369943|33.369943|-81.964500|-81.964500|44|44
Alejo Garcia|Alejo Garcia|Ciudad Del Este|Ciudad Del Este|Paraguay|Paraguay|-25.455500|-25.455500|-54.843592|-54.843592|258|258
Aguascalients|Aguascalients|Aguascalientes|Aguascalientes|Mexico|Mexico|21.705558|21.705558|-102.317858|-102.317858|1863|1863
Acarigua|Acarigua|Acarigua|Acarigua|Venezuela|Venezuela|9.553422|9.553422|-69.237536|-69.237536|226|226
Agnew|Agnew|Agnew|Agnew|Australia|Australia|-12.145556|-12.145556|142.149167|142.149167|49|49
Agatti Island|Agatti Island|Agatti Island|Agatti Island|India|India|10.823656|10.823656|72.176042|72.176042|4|4
Argyle Downs|Argyle Downs|Argyle Downs|Argyle Downs|Australia|Australia|-16.333|-16.333|128.767|128.767|88|88
Aggeneys|Aggeneys|Aggeneys|Aggeneys|South Africa|South Africa|-29.281767|-29.281767|18.813869|18.813869|807|807
Naha Air Force Base|Naha Air Force Base|Okinawa|Okinawa|Japan|Japan|26.2|26.2|127.65|127.65||
Abha|Abha|Abha|Abha|Saudi Arabia|Saudi Arabia|18.240367|18.240367|42.656625|42.656625|2090|2090
Amedee AAF|Amedee AAF|Herlong|Herlong|Norway|Norway|40.265918|40.265918|-120.150613|-120.150613|1223|1223
Downtown|Downtown|Ardmore|Ardmore|United States|United States|34.146989|34.146989|-97.122652|-97.122652|257|257
Ahe Airport|Ahe Airport|Ahe|Ahe|French Polynesia|French Polynesia|-14.427778|-14.427778|-146.255000|-146.255000|3|3
Municipal|Municipal|Arapahoe|Arapahoe|Guatemala|Guatemala|40.339451|40.339451|-99.906513|-99.906513|692|692
Municipal|Municipal|Amery|Amery|United States|United States|45.281148|45.281148|-92.375392|-92.375392|332|332
Amahai|Amahai|Amahai|Amahai|Indonesia|Indonesia|-3.348|-3.348|128.926|128.926|56|56
Aishalton|Aishalton|Aishalton|Aishalton|Guyana|Guyana|2.473604|2.473604|-59.321110|-59.321110|179|179
Athens|Athens|Athens|Athens|Greece|Greece|33.948595|33.948595|-83.326347|-83.326347|246|246
Fertilia|Fertilia|Alghero|Alghero|Italy|Italy|40.632133|40.632133|8.290772|8.290772|27|27
Ahuas|Ahuas|Ahuas|Ahuas|Honduras|Honduras|15.472222|15.472222|-84.352222|-84.352222|30|30
Amchitka|Amchitka|Amchitka|Amchitka|United States|United States|51.5|51.5|179|179|69|69
Charif Al Idrissi|Charif Al Idrissi|Al Hoceima|Al Hoceima|Morocco|Morocco|35.177103|35.177103|-3.839525|-3.839525|29|29
Ambatolahy|Ambatolahy|Ambatolahy|Ambatolahy|Madagascar|Madagascar|-20.000|-20.000|45.533|45.533|90|90
Alpe D Huez|Alpe D Huez|Alpe D Huez|Alpe D Huez|France|France|45.088333|45.088333|6.084722|6.084722|1860|1860
Alliance|Alliance|Alliance|Alliance|United States|United States|42.053222|42.053222|-102.803778|-102.803778|1198|1198
Anita Bay|Anita Bay|Anita Bay|Anita Bay|United States|United States|56.233333333333|56.233333333333|-132.38333333333|-132.38333333333||
Airok|Airok|Airok, Ailinglaplap|Airok, Ailinglaplap|Marshall Islands|Marshall Islands|7.100|7.100|171.233|171.233||
Municipal|Municipal|Anderson|Anderson|United States|United States|40.108611|40.108611|-85.613000|-85.613000|280|280
Aiome|Aiome|Aiome|Aiome|Papua New Guinea|Papua New Guinea|-5.133|-5.133|144.717|144.717|107|107
Assis|Assis|Assis|Assis|Brazil|Brazil|-22.638564|-22.638564|-50.455914|-50.455914|564|564
Yalinga|Yalinga|Yalinga|Yalinga|Central African Republic|Central African Republic|6.520|6.520|23.260|23.260|602|602
Aiambak|Aiambak|Aiambak|Aiambak|Papua New Guinea|Papua New Guinea|-7.35|-7.35|141.26666666667|141.26666666667||
Alisabieh|Alisabieh|Alisabieh|Alisabieh|Djibouti|Djibouti|11.133|11.133|42.717|42.717|709|709
Municipal|Municipal|Aiken|Aiken|United States|United States|33.649376|33.649376|-81.685036|-81.685036|161|161
Ailigandi|Ailigandi|Ailigandi|Ailigandi|Panama|Panama|9.217|9.217|-78.017|-78.017|2|2
Ailuk Island|Ailuk Island|Ailuk Island|Ailuk Island|Marshall Islands|Marshall Islands|10.200|10.200|169.983|169.983||
Wainwright|Wainwright|Wainwright|Wainwright|United States|United States|70.638000|70.638000|-159.994750|-159.994750|12|12
Municipal|Municipal|Atlantic|Atlantic|United States|United States|41.403833|41.403833|-95.048750|-95.048750|355|355
Ailinglapalap Island|Ailinglapalap Island|Ailinglapalap Island|Ailinglapalap Island|Marshall Islands|Marshall Islands|7.267|7.267|168.817|168.817||
Aripuana|Aripuana|Aripuana|Aripuana|Brazil|Brazil|-10.186389|-10.186389|-59.457500|-59.457500||
Arorae Island|Arorae Island|Arorae Island|Arorae Island|Kiribati|Kiribati|-2.616111|-2.616111|176.802500|176.802500|2|2
Aitutaki|Aitutaki|Aitutaki|Aitutaki|Cook Islands|Cook Islands|-18.830922|-18.830922|-159.764233|-159.764233|4|4
Atiu Island|Atiu Island|Atiu Island|Atiu Island|Cook Islands|Cook Islands|-19.967778|-19.967778|-158.119167|-158.119167|11|11
George Downer|George Downer|Aliceville|Aliceville|United States|United States|33.106465|33.106465|-88.197792|-88.197792|46|46
Ai-ais|Ai-ais|Ai-ais|Ai-ais|Namibia|Namibia|-27.983333333333|-27.983333333333|17.583055555556|17.583055555556||
Bader Field|Bader Field|Atlantic City|Atlantic City|United States|United States|39.366666666667|39.366666666667|-74.45|-74.45|3|3
Lee C Fine Memorial|Lee C Fine Memorial|Kaiser/Lake Ozark|Kaiser/Lake Ozark|United States|United States|38.096035|38.096035|-92.549488|-92.549488|265|265
Campo Dell Oro|Campo Dell Oro|Ajaccio|Ajaccio|France|France|41.923889|41.923889|8.802500|8.802500|5|5
Jouf|Jouf|Sakaka Al Jouf|Sakaka Al Jouf|Saudi Arabia|Saudi Arabia|29.785133|29.785133|40.100006|40.100006|689|689
A&amp;#287;ri|A&amp;#287;ri|Agri|Agri|Italy|Italy|39.654569|39.654569|43.027150|43.027150|1665|1665
Akjoujt|Akjoujt|Akjoujt|Akjoujt|Mauritania|Mauritania|19.731667|19.731667|-14.379444|-14.379444|123|123
Araak|Araak|Araak|Araak|Iran|Iran|34.138147|34.138147|49.847292|49.847292|1658|1658
Aizawl|Aizawl|Aizawl|Aizawl|India|India|23.746603|23.746603|92.802767|92.802767|305|305
Ouani|Ouani|Anjouan|Anjouan|Comoros|Comoros|-12.131667|-12.131667|44.430279|44.430279|19|19
Aljouf|Aljouf|Aljouf|Aljouf|Yemen|Yemen|15.717|15.717|44.250|44.250||
Arvidsjaur|Arvidsjaur|Arvidsjaur|Arvidsjaur|Sweden|Sweden|65.590278|65.590278|19.281944|19.281944|379|379
Abreojos|Abreojos|Abreojos|Abreojos|Mexico|Mexico|26.727222|26.727222|-113.559444|-113.559444|8|8
Santa Maria|Santa Maria|Aracaju|Aracaju|Brazil|Brazil|-10.984000|-10.984000|-37.070333|-37.070333|7|7
Agades|Agades|Agades|Agades|Niger|Niger|16.965997|16.965997|8.000114|8.000114|505|505
Ankang|Ankang|Ankang|Ankang|China|China|32.708056|32.708056|108.931389|108.931389||
Atka|Atka|Atka|Atka|United States|United States|52.220586|52.220586|-174.206183|-174.206183|17|17
Fulton International|Fulton International|Akron/Canton|Akron/Canton|South Africa|South Africa|41.037500|41.037500|-81.466917|-81.466917|325|325
Akola|Akola|Akola|Akola|India|India|20.699006|20.699006|77.058628|77.058628|304|304
Akieni|Akieni|Akieni|Akieni|Gabon|Gabon|-1.129436|-1.129436|13.920506|13.920506|506|506
Kufrah|Kufrah|Kufrah|Kufrah|Libya|Libya|24.178728|24.178728|23.313958|23.313958|417|417
Anguganak|Anguganak|Anguganak|Anguganak|Papua New Guinea|Papua New Guinea|-3.550|-3.550|142.217|142.217|259|259
Prince Sultan Air Base|Prince Sultan Air Base|Al Kharj|Al Kharj|Saudi Arabia|Saudi Arabia|24.062700|24.062700|47.580536|47.580536|503|503
Akiak|Akiak|Akiak|Akiak|United States|United States|60.902889|60.902889|-161.230583|-161.230583|9|9
Asahikawa|Asahikawa|Asahikawa|Asahikawa|Japan|Japan|43.670833|43.670833|142.447500|142.447500|220|220
